ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
70,15,51,0.89,20,19,19,79
71,149,113,0.8,25,20,5,65
72,106,6,0.88,27,25,62,122
73,118,31,0.81,29,29,48,108
74,12,48,0.87,22,21,109,169
75,22,60,0.81,29,26,54,114
76,15,122,0.88,27,20,97,157
77,85,128,0.87,20,20,118,178
78,96,100,0.81,25,22,20,80
79,84,78,0.83,25,20,0,60
80,123,94,0.82,26,20,111,171
81,39,26,0.89,21,20,108,168
82,33,31,0.8,29,27,116,176
83,26,86,0.88,21,21,38,98
84,69,62,0.83,21,19,20,80
85,89,9,0.89,25,21,68,128
86,52,58,0.88,23,19,40,100
87,140,52,0.82,28,23,116,176
88,149,80,0.82,29,23,35,95
89,130,54,0.87,29,20,6,66
90,101,136,0.84,29,20,83,143
91,13,65,0.82,22,19,63,123
92,103,68,0.87,21,19,97,157
93,140,84,0.88,22,19,23,83
94,136,103,0.84,25,25,3,63
95,93,76,0.87,23,23,70,130
96,105,37,0.82,30,28,59,119
97,90,77,0.81,30,29,112,172
98,64,123,0.83,30,28,91,151
99,61,95,0.86,22,22,90,150
100,119,89,0.88,27,19,25,85
101,61,117,0.82,30,29,8,68
102,134,27,0.84,25,24,47,107
103,123,71,0.87,25,23,93,153
104,71,68,0.87,26,26,80,140
105,114,131,0.86,22,21,11,71
106,50,24,0.84,22,22,78,138
107,21,21,0.89,23,21,109,169
108,89,118,0.88,27,23,113,173
109,85,41,0.86,22,19,24,84
110,41,89,0.89,26,22,6,66
111,109,14,0.88,27,27,47,107
112,5,70,0.81,27,21,0,60
113,5,115,0.8,27,23,32,92
114,69,52,0.9,28,26,80,140
115,115,32,0.81,20,19,105,165
116,41,100,0.82,25,23,32,92
117,86,136,0.8,21,21,37,97
118,32,137,0.83,21,20,25,85
119,62,33,0.81,23,22,40,100
120,1,50,0.84,27,20,48,108
121,42,52,0.81,25,20,49,109
122,41,14,0.84,21,19,13,73
123,42,143,0.89,23,20,118,178
124,8,38,0.83,22,21,12,72
125,71,107,0.85,20,20,107,167
126,6,102,0.82,29,28,19,79
127,21,96,0.88,25,19,38,98
128,20,114,0.81,27,20,53,113
129,26,75,0.84,27,22,53,113
130,113,140,0.88,28,22,41,101
131,55,119,0.82,27,25,37,97
132,10,99,0.88,30,22,22,82
133,119,50,0.9,21,20,105,165
134,140,98,0.81,22,21,89,149
135,22,31,0.88,30,26,77,137
136,132,102,0.85,21,19,98,158
137,65,22,0.89,28,25,87,147
138,19,21,0.83,21,20,101,161
139,121,31,0.84,23,20,49,109
140,19,81,0.81,29,19,60,120
141,148,144,0.87,20,20,110,170
142,127,140,0.88,29,23,83,143
143,78,13,0.83,25,20,50,110
144,81,70,0.84,21,21,63,123
145,51,82,0.83,28,25,88,148
146,24,58,0.87,30,25,14,74
147,10,2,0.89,27,23,119,179
148,144,117,0.83,21,21,8,68
149,133,109,0.89,29,20,17,77
150,146,105,0.82,30,30,93,153
151,40,131,0.84,20,20,82,142
152,93,68,0.83,22,21,83,143
153,120,5,0.83,26,21,111,171
154,67,19,0.86,23,21,3,63
155,0,2,0.83,24,23,2,62
156,131,18,0.82,30,27,25,85
157,84,68,0.8,27,19,75,135
158,81,149,0.82,23,20,84,144
159,124,0,0.86,25,19,71,131
160,133,96,0.86,25,23,118,178
161,10,61,0.85,23,21,2,62
162,105,45,0.88,20,20,0,60
163,89,77,0.8,28,20,44,104
164,13,60,0.82,28,28,18,78
165,39,121,0.85,27,19,114,174
166,89,30,0.81,27,23,85,145
167,147,67,0.88,22,20,27,87
168,124,26,0.85,21,20,40,100
169,122,42,0.83,21,21,34,94
170,10,128,0.89,24,24,45,105
171,60,31,0.83,25,24,7,67
172,135,14,0.87,29,28,84,144
173,45,69,0.88,24,22,99,159
174,95,28,0.88,27,23,11,71
175,10,70,0.82,23,23,5,65
176,69,132,0.81,29,24,28,88
177,99,67,0.89,28,26,49,109
178,34,26,0.82,22,21,81,141
179,128,63,0.8,30,26,104,164
180,15,9,0.84,21,20,82,142
181,147,4,0.89,25,24,87,147
182,107,29,0.85,22,21,82,142
183,66,125,0.85,27,27,101,161
184,84,47,0.83,21,21,110,170
185,96,70,0.82,28,26,116,176
186,10,0,0.89,22,21,88,148
187,20,101,0.85,26,26,38,98
188,82,65,0.84,24,23,26,86
189,56,97,0.86,22,22,57,117
190,79,50,0.81,26,23,34,94
191,22,84,0.87,29,25,46,106
192,8,30,0.81,20,19,101,161
193,13,149,0.86,22,22,60,120
194,136,45,0.81,27,27,53,113
195,134,121,0.83,29,27,7,67
196,113,38,0.85,28,20,45,105
197,64,149,0.81,23,20,91,151
198,79,54,0.89,25,21,111,171
199,118,74,0.83,29,25,55,115
200,120,26,0.86,21,20,77,137
201,129,11,0.89,24,23,107,167
202,136,55,0.9,28,19,53,113
203,113,4,0.9,28,23,103,163
204,145,124,0.85,26,26,69,129
205,124,93,0.82,29,27,65,125
206,51,134,0.85,30,30,15,75
207,33,47,0.82,22,21,79,139
208,35,67,0.83,29,22,95,155
209,106,90,0.88,26,23,29,89
210,84,120,0.81,24,24,70,130
211,138,135,0.88,30,24,52,112
212,28,134,0.87,30,20,14,74
213,135,51,0.82,29,26,106,166
214,141,101,0.86,27,22,94,154
215,95,143,0.83,25,25,99,159
216,66,45,0.8,27,25,84,144
217,116,118,0.87,22,20,74,134
218,49,147,0.85,26,24,116,176
219,24,69,0.84,26,25,116,176
220,50,138,0.83,30,29,64,124
221,71,124,0.85,21,20,7,67
222,22,87,0.86,26,25,1,61
223,115,22,0.83,28,20,117,177
224,14,62,0.84,20,19,100,160
225,2,137,0.89,29,21,64,124
226,99,81,0.82,30,21,7,67
227,127,132,0.87,25,25,8,68
228,9,117,0.88,24,24,88,148
229,135,130,0.87,29,25,18,78
230,4,67,0.84,25,25,38,98
231,99,144,0.84,26,21,10,70
232,139,127,0.84,25,20,33,93
233,76,11,0.89,22,20,89,149
234,47,42,0.86,26,22,47,107
235,118,61,0.82,30,26,68,128
236,37,50,0.85,30,21,55,115
237,118,63,0.85,27,21,105,165
238,39,75,0.88,21,21,77,137
239,113,90,0.9,20,19,56,116
240,89,87,0.86,21,19,33,93
241,117,63,0.87,26,23,35,95
242,50,65,0.81,21,21,67,127
243,93,148,0.85,22,20,98,158
244,43,46,0.83,26,22,55,115
245,53,57,0.87,25,19,45,105
246,52,20,0.89,23,21,3,63
247,26,125,0.82,23,21,92,152
248,92,122,0.88,25,21,61,121
249,2,57,0.85,30,21,90,150
250,0,38,0.81,21,21,26,86
251,148,96,0.81,24,19,109,169
252,129,63,0.9,25,22,0,60
253,47,15,0.85,27,25,108,168
254,51,8,0.9,24,22,112,172
255,76,89,0.8,30,27,92,152
256,51,125,0.84,25,21,16,76
257,21,59,0.89,27,24,77,137
258,35,18,0.82,20,20,103,163
259,128,65,0.86,30,30,5,65
260,80,69,0.82,24,21,20,80
261,129,72,0.85,30,26,23,83
262,100,132,0.82,26,26,44,104
263,48,9,0.81,21,19,29,89
264,76,73,0.81,21,21,59,119
265,68,148,0.81,25,20,17,77
266,142,110,0.87,29,28,8,68
267,11,31,0.89,23,23,81,141
268,27,61,0.85,30,29,110,170
269,32,18,0.85,25,19,71,131
270,113,78,0.83,30,25,1,61
271,69,106,0.86,26,26,73,133
272,7,31,0.81,27,26,63,123
273,18,66,0.89,25,20,17,77
274,144,87,0.87,28,24,109,169
275,142,1,0.9,20,19,87,147
276,41,7,0.83,25,21,64,124
277,62,84,0.87,21,19,119,179
278,77,72,0.83,29,21,120,180
279,19,148,0.81,24,19,68,128
280,23,124,0.85,26,19,14,74
281,29,8,0.88,22,22,47,107
282,143,59,0.9,20,19,101,161
283,37,2,0.9,28,28,68,128
284,136,122,0.89,28,25,98,158
285,107,112,0.82,21,20,69,129
286,114,137,0.89,27,25,21,81
287,123,130,0.88,25,25,19,79
288,132,90,0.8,22,22,109,169
289,123,108,0.81,27,19,36,96
290,119,53,0.88,20,20,112,172
291,76,99,0.8,25,24,82,142
292,49,92,0.9,25,23,24,84
293,74,5,0.9,22,22,80,140
294,19,101,0.81,25,20,76,136
295,1,75,0.82,22,22,62,122
296,13,34,0.81,28,27,33,93
297,2,34,0.9,25,19,29,89
298,46,149,0.88,30,21,112,172
299,108,2,0.85,26,24,108,168
300,18,79,0.89,23,21,52,112
301,84,104,0.81,30,27,11,71
302,14,133,0.81,22,20,105,165
303,73,11,0.85,22,19,115,175
304,138,69,0.89,20,20,29,89
305,129,145,0.85,22,21,11,71
306,89,57,0.89,29,21,18,78
307,130,16,0.87,25,25,13,73
308,97,79,0.85,23,21,100,160
309,49,70,0.87,22,19,72,132
310,48,131,0.84,22,21,85,145
311,129,11,0.86,29,24,66,126
312,109,34,0.89,20,20,85,145
313,74,140,0.84,29,21,56,116
314,106,123,0.83,21,20,103,163
315,42,71,0.85,29,29,6,66
316,32,19,0.88,28,28,50,110
317,112,82,0.83,30,22,33,93
318,128,116,0.81,25,23,72,132
319,106,58,0.84,21,20,85,145
320,136,27,0.82,29,23,3,63
321,72,1,0.88,26,20,92,152
322,138,12,0.88,24,24,103,163
323,134,60,0.82,25,25,110,170
324,31,57,0.88,29,19,60,120
325,45,43,0.88,28,28,4,64
326,10,38,0.8,21,20,108,168
327,140,139,0.81,23,21,58,118
328,115,34,0.87,25,24,105,165
329,135,17,0.81,29,20,65,125
330,64,47,0.81,28,27,71,131
331,10,140,0.8,25,20,9,69
332,124,46,0.84,24,24,36,96
333,0,79,0.84,24,23,60,120
334,135,61,0.83,23,19,83,143
335,116,31,0.82,27,26,58,118
336,149,48,0.81,23,22,80,140
337,124,139,0.86,28,20,78,138
338,133,45,0.89,21,21,19,79
339,91,148,0.88,29,27,33,93
340,77,8,0.83,20,19,90,150
341,11,51,0.86,21,20,0,60
342,149,109,0.86,27,24,87,147
343,89,84,0.82,28,24,38,98
344,121,96,0.85,20,19,64,124
345,27,94,0.85,22,21,118,178
346,141,113,0.89,27,22,28,88
347,125,128,0.83,30,28,11,71
348,9,92,0.85,28,28,63,123
349,70,10,0.84,27,21,18,78
350,55,125,0.82,21,21,4,64
351,14,133,0.87,29,19,108,168
352,52,21,0.83,29,24,95,155
353,1,140,0.89,26,19,106,166
354,148,37,0.87,24,21,96,156
355,29,106,0.86,25,25,86,146
356,117,141,0.88,29,19,89,149
357,39,43,0.85,25,25,26,86
358,46,143,0.85,28,26,69,129
359,143,13,0.86,22,20,30,90
360,50,68,0.81,22,22,52,112
361,127,52,0.85,23,21,116,176
362,83,29,0.87,26,20,80,140
363,38,124,0.85,22,22,4,64
364,58,149,0.86,24,24,98,158
365,60,111,0.85,24,22,14,74
366,1,136,0.88,23,21,26,86
367,37,82,0.84,21,21,69,129
368,32,45,0.89,28,24,55,115
369,49,114,0.87,21,21,66,126
370,64,85,0.85,24,24,77,137
371,121,138,0.87,30,27,80,140
372,9,127,0.87,29,29,18,78
373,113,100,0.85,30,28,111,171
374,98,32,0.84,22,21,48,108
375,45,51,0.85,21,20,42,102
376,77,9,0.86,29,19,23,83
377,70,54,0.89,29,27,26,86
378,6,116,0.83,29,25,69,129
379,22,18,0.81,20,19,52,112
380,11,28,0.86,27,23,91,151
381,124,46,0.89,27,26,3,63
382,134,6,0.88,28,19,115,175
383,130,141,0.86,26,26,98,158
384,70,104,0.89,29,27,7,67
385,17,0,0.8,25,24,5,65
386,80,92,0.84,30,23,67,127
387,44,38,0.88,23,21,82,142
388,56,18,0.82,28,21,84,144
389,13,47,0.83,29,29,120,180
390,65,114,0.88,22,22,29,89
391,98,42,0.86,25,19,57,117
392,68,135,0.83,30,21,7,67
393,80,27,0.82,27,19,68,128
394,116,8,0.82,25,22,49,109
395,141,46,0.82,23,19,35,95
396,41,69,0.83,25,24,58,118
397,106,107,0.81,30,30,33,93
398,99,30,0.87,29,21,16,76
399,17,129,0.85,30,24,0,60
400,147,13,0.87,29,23,112,172
401,39,103,0.86,24,20,67,127
402,83,143,0.9,23,23,47,107
403,32,29,0.9,26,19,60,120
404,62,118,0.88,27,24,69,129
405,61,19,0.84,20,19,101,161
406,61,70,0.81,22,22,54,114
407,95,63,0.82,30,30,86,146
408,111,149,0.88,27,21,80,140
409,141,88,0.87,23,19,77,137
410,70,51,0.8,25,25,25,85
411,72,108,0.84,23,22,108,168
412,24,122,0.88,21,20,47,107
413,36,110,0.82,21,19,108,168
414,116,50,0.82,27,21,60,120
415,6,144,0.8,23,20,2,62
416,19,72,0.9,23,23,37,97
417,3,16,0.83,30,24,67,127
418,127,143,0.84,30,22,27,87
419,126,127,0.86,23,20,101,161
420,97,0,0.89,30,28,67,127
421,15,72,0.86,29,23,59,119
422,140,86,0.81,25,21,115,175
423,103,92,0.87,25,21,2,62
424,82,83,0.83,20,20,46,106
425,3,87,0.84,21,19,85,145
426,41,144,0.86,30,22,69,129
427,114,11,0.87,28,23,12,72
428,68,47,0.87,28,19,56,116
429,133,12,0.81,27,20,68,128
430,12,61,0.85,24,21,36,96
431,76,63,0.88,24,24,20,80
432,134,33,0.9,25,22,67,127
433,48,49,0.88,23,22,37,97
434,43,64,0.88,26,23,20,80
435,4,1,0.88,22,22,120,180
436,134,95,0.82,24,23,5,65
437,100,120,0.8,30,30,12,72
438,1,97,0.85,27,24,116,176
439,138,30,0.87,27,27,106,166
440,146,116,0.81,28,23,69,129
441,70,3,0.83,28,25,14,74
442,102,42,0.81,25,19,83,143
443,38,27,0.81,23,19,38,98
444,51,80,0.89,24,22,66,126
445,118,47,0.89,22,22,88,148
446,33,129,0.9,30,22,98,158
447,53,56,0.85,27,25,17,77
448,90,67,0.9,22,19,85,145
449,90,100,0.87,30,24,82,142
450,126,15,0.87,20,19,85,145
451,37,24,0.84,22,22,52,112
452,59,0,0.83,21,21,82,142
453,90,70,0.83,30,21,94,154
454,52,51,0.87,21,21,14,74
455,57,125,0.86,26,25,5,65
456,100,61,0.89,25,22,80,140
457,126,112,0.86,20,20,32,92
458,102,60,0.87,23,20,8,68
459,45,139,0.85,25,24,90,150
460,102,108,0.87,20,20,9,69
461,98,139,0.84,27,27,43,103
462,124,71,0.85,21,20,70,130
463,55,3,0.88,20,19,73,133
464,86,83,0.82,25,25,13,73
465,142,75,0.81,30,23,8,68
466,146,72,0.81,23,19,86,146
467,37,50,0.87,21,20,45,105
468,101,118,0.81,27,22,10,70
469,39,90,0.82,25,22,9,69
470,5,44,0.83,28,23,1,61
471,136,56,0.86,26,22,72,132
472,81,21,0.83,27,20,76,136
473,14,0,0.83,22,22,80,140
474,109,102,0.83,28,28,43,103
475,104,13,0.84,29,20,47,107
476,109,25,0.87,27,26,62,122
477,11,62,0.88,26,26,49,109
478,62,1,0.8,26,23,6,66
479,88,24,0.82,25,20,74,134
480,45,110,0.9,29,29,34,94
481,15,18,0.83,24,19,60,120
482,40,49,0.85,29,29,23,83
483,71,134,0.85,29,19,90,150
484,7,87,0.85,20,20,48,108
485,56,43,0.83,22,19,89,149
486,149,75,0.81,22,21,110,170
487,131,77,0.88,21,19,81,141
488,81,86,0.82,21,20,6,66
489,83,32,0.81,25,24,92,152
490,146,134,0.81,27,27,88,148
491,133,32,0.82,22,20,56,116
492,96,15,0.88,28,21,57,117
493,58,30,0.86,24,24,62,122
494,104,33,0.9,23,22,40,100
495,87,106,0.84,27,21,65,125
496,66,81,0.88,28,25,114,174
497,93,30,0.82,27,27,57,117
498,87,30,0.85,21,19,109,169
499,114,58,0.86,26,24,88,148
