ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
171,134,81,0.51,110,170,10
172,137,121,0.59,78,138,10
173,11,100,0.57,89,149,10
174,55,29,0.53,61,121,10
175,134,123,0.59,33,93,10
176,137,17,0.56,30,90,10
177,109,26,0.51,80,140,10
178,88,95,0.51,82,142,10
179,7,51,0.58,64,124,10
180,117,40,0.51,111,171,10
181,33,43,0.54,87,147,10
182,11,52,0.51,48,108,10
183,91,69,0.53,44,104,10
184,10,111,0.57,64,124,10
185,40,85,0.57,59,119,10
186,107,40,0.58,17,77,10
187,2,17,0.53,111,171,10
188,139,68,0.6,4,64,10
189,37,97,0.57,2,62,10
190,8,104,0.53,26,86,10
191,111,41,0.54,7,67,10
192,93,25,0.58,48,108,10
193,97,55,0.52,54,114,10
194,93,35,0.6,69,129,10
195,99,56,0.5,115,175,10
196,16,133,0.51,7,67,10
197,7,133,0.56,53,113,10
198,130,114,0.51,27,87,10
199,49,94,0.54,91,151,10
